iso_code,country,continent,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
PAK,Pakistan,Asia,2020,14.283,5.055,-6.349,-20.753,0,,-1.156,-11.289,1.84,12.113,,,,,,,20.157,11.331,17.89,17.571,172.645,132.732,781.582,40.448,183.11,145.994,2.676,29.319,81.35,17.517,47.296,9.909,34.514,0,2.676,54.193,1.03,3.191,145.452,,4368.891,-2.376,86.022,-20.202,830.162,3758.222,368.281,55.929,,12.043,-7.262,42.726,-32.29,412.328,79.303,1866.649,306.109,1385.785,32.517,10.566,10.299,9.498,99.394,214.114,449.966,44.071,64.102,290.195,7.075,13.978,8.913,134.893,610.673,0.371,0.541,6.813,1.39,2.389,0.316,23.054,44.859,104.369,23.728,-2.187,25.407,-5.483,245.188,156.246,1109.99,,,0,12.113,2.248,0.162,0.034,1.565,0,1.84,7.084,658.476,220892336,965.055,245.336,37.258,8.327,11.589,8.597,111.839,506.304,0.708,2.978,0.429,0.12,4.139,4.664,18.739,2.194,-13.536,0.698,-1.055,6.741,14.444,30.515
HUN,Hungary,Europe,2020,-10.545,-1.218,0,,0,,-1.198,-3.262,6.661,234.981,,,,,,219,11.033,-6.396,7.433,-1.366,19.986,389.22,2068.835,10.336,1069.929,45.76,2.27,3.76,13.1,9.03,0.24,16.08,0.31,0.02,2.29,4.9,1.71,0.66,34.08,,27833.522,-2.292,79.171,-4.994,212.876,22036.016,1356.059,38.439,,26.496,3.393,37.853,3.34,101.78,934.749,10535.859,,,0.704,11.006,0.224,0.06,0.602,24.844,62.314,61.561,20.98,2171.764,1.799,19.664,0.934,52.873,5473.186,25.524,11.68,47.183,-1.786,14.732,-0.721,39.612,1664.536,4100.484,0.91,-7.105,33.885,-6.969,91.11,32.09,9431.322,,,2.07,237.051,-5.922,1.942,-0.329,5.223,0.059,6.719,540.653,3527.822,9660350,268.882,507.228,14.378,14.258,4.932,1.655,13.261,1372.702,5.018,57.802,2.176,2.143,5.85,177.012,605.521,1.937,-12.121,0.59,-0.219,1.586,68.321,164.213
KAZ,Kazakhstan,Asia,2020,-1.424,-8.195,-6.904,-23.501,-5.416,-57.351,-1.383,-12.103,0.003,0.154,,,,,,,69.686,-1.569,52.662,-7.243,454.369,3844.841,24198.574,567.359,30216.118,98.955,0.003,72.193,92.173,19.224,9.403,0,0.756,0,0.003,11.425,1.077,0.941,103.597,,45950.324,-2.118,96.137,-17.952,829.469,44175.397,4908.88,88.972,,18.556,-4.541,19.259,-7.905,166.165,1023.796,8849.555,316.919,16878.279,9.077,-2.338,2.801,-0.579,24.168,500.806,1287.116,11.028,11.425,608.46,21.286,3.863,5.849,33.328,1774.963,-4.692,-4.643,0,,0,0,0,0,0,0.729,-1.324,24.216,-2.804,208.933,40.244,11127.268,1001.49,53336.808,0,0.154,5.482,0.002,0.001,0.013,0,0.003,0.712,5517.34,18776708,862.796,608.46,11.028,21.286,3.863,5.849,33.328,1774.963,1.04,555.025,0.735,5.377,6.346,57.374,337.948,0.909,59.978,0.325,1.05,2.801,50.126,149.187
OMN,Oman,Asia,2020,,,0.655,2.402,-2.572,-14.155,-1.495,-5.775,,,,,,,,,,91.178,0.991,1.798,3.77,,738.336,,,,,,,,0,0,,,0,0.206,0.206,0,38.857,,74513.602,-1.616,99.866,-6.242,380.005,74414.108,,,,,3.64,68.083,9.098,259.063,,50730.883,369.304,72318.658,0,,0,0,0,0,0,0.53,0.206,40.352,1140.119,0.134,0.467,0.508,99.553,,,0,,0,0,0,0,0,,-12.76,30.793,-17.138,117.171,,22944.89,536.272,105014.927,,0,,0,0,0,,0,0,7609.2,5106622,380.513,40.352,0.53,1140.119,0.134,0.467,0.508,99.553,0.53,1140.119,0.134,0.467,0.508,40.352,99.553,0,,0,0,0,0,0
TKM,Turkmenistan,Asia,2020,,,-6.652,-42.018,-15.202,-21.551,-1.618,-6.411,,,,,,,,,,,0,0,0,,0,,,,,,,,0.003,0,,,0,0.01,0.007,0,26.606,,64639.236,-1.618,99.994,-6.411,389.827,64635.15,,,,,-0.738,80.287,-2.326,313,,51896.957,589.614,97760.865,0.012,-0.356,0.002,0,0.008,0.523,1.29,0.038,0.01,1.677,-0.333,0.006,0,0.025,4.136,,,0,,0,0,0,0,0,,-5.048,19.707,-4.085,76.826,,12738.193,120.218,19932.768,,0,,0,0,0,,0,0,4411.41,6031187,389.851,1.677,0.038,-0.333,0.006,0,0.025,4.136,0.026,-0.323,0.004,0,0.017,1.154,2.846,0,,0,0,0,0,0
TWN,Taiwan,Asia,2020,,,,,,,-1.697,-23.106,1.437,159.341,,,,,,,44.188,-2.198,33.916,-10.202,453.957,4900.872,19060.398,,,264.151,3.795,116.723,218.681,93.952,2.639,30.269,8.007,0,3.795,15.2,6.529,2.238,264.151,,56199.237,-1.625,91.716,-20.281,1227.612,51544.007,9181.822,82.787,,35.567,6.985,18.592,16.246,248.845,3944.775,10448.3,,,0.999,-45.699,0.557,-6.274,7.456,110.803,313.042,17.213,45.469,1909.134,-2.493,8.254,-2.825,110.476,4638.563,0,0,11.459,-3.09,5.795,-2.473,77.567,1270.924,3256.819,3.031,-4.777,39.209,-26.326,524.81,336.174,22035.31,,,0,159.341,-2.32,0.358,-0.114,4.791,0,1.437,201.148,11090.956,23816776,1338.485,638.21,5.754,-1.058,2.459,-0.352,32.909,1381.744,2.472,51.044,1.122,5.074,15.014,274.114,630.413,0.847,20.539,0.422,0.962,5.648,93.952,237.142
VNM,Vietnam,Asia,2020,4.808,14.526,-11.571,-11.401,-12.395,-16.495,-1.857,-21.486,0.047,1.294,,,,,,,52.943,1.66,51.396,9.532,583.776,1453.215,5997.382,316.632,3252.895,268.183,0.126,141.454,184.391,41.828,68.215,0,1.109,0,0.126,82.789,13.475,0.973,267.18,,11668.892,-3.784,82.967,-37.062,942.366,9681.315,1894.324,69.014,,15.655,-11.571,7.671,-11.401,87.126,429.712,895.082,87.126,895.082,25.532,1.461,14.98,2.449,170.145,700.805,1747.97,30.986,82.789,850.526,8.756,17.033,15.576,193.469,1987.586,0.374,1.003,0,,0,0,0,0,0,0.415,-11.476,23.9,-35.193,271.463,11.397,2788.85,116.578,1197.654,0,1.294,-7.143,0,0,0.001,0,0.047,0.01,2744.85,97338584,1135.833,850.526,30.986,8.756,17.033,15.576,193.469,1987.586,5.043,128.748,2.053,13.126,23.321,138.432,239.587,0.364,60.557,0,0.001,0.002,9.994,0.02
SWE,Sweden,Europe,2020,,,,,,,-1.891,-11.773,6.602,1073.345,-9.327,2.528,-1.589,15.444,1529.225,10,0.128,-9.027,3.403,-2.063,20.79,20.794,2058.578,,,139.2,10.84,0.21,3.35,0.29,72.93,49.18,2.85,0,10.84,111.67,0.68,27.22,164.2,,60494.342,-7.412,29.916,-14.631,182.772,18097.575,331.707,2.04,,0.177,3.691,1.731,0.377,10.578,28.715,1047.435,,,44.415,12.065,29.617,19.48,180.947,7221.314,17916.861,97.96,160.85,15926.894,0.672,70.084,2.858,428.177,42396.816,-17.96,-25,29.951,-18.898,21.738,-30.946,132.807,4869.659,13150.137,1.736,-7.876,24.782,-12.945,151.404,282.199,14991.563,,,0,1073.345,-15.994,4.438,-5.163,27.117,0,6.602,2685.043,16258.601,10099270,610.949,11057.235,68.009,12.923,48.346,33.803,295.37,29246.679,0.414,58.755,0.427,0.965,2.606,67.332,258.072,16.577,40.919,11.336,20.11,69.256,2695.244,6857.477
UZB,Uzbekistan,Asia,2020,2.103,0.282,-17.838,-102.201,-23.95,-7.844,-2.509,-13.387,,,,,,,,,,32.762,5.337,6.852,27.764,,829.552,13.709,409.587,,,,,,6.807,0,,,0,6.822,0.016,0,64.961,,15542.044,-2.733,96.764,-14.141,503.348,15039.15,,,,,-3.15,82.728,-13.996,430.336,,12857.678,470.733,14064.649,10.479,4.699,3.228,0.754,16.794,203.38,501.764,10.502,6.822,203.844,4.687,3.236,0.754,16.832,502.907,,,0,,0,0,0,0,0,,-13.392,8.698,-6.997,45.248,,1351.921,24.909,744.24,,0,,0,0,0,,0,0,1940.919,33469200,520.18,203.844,10.502,4.687,3.236,0.754,16.832,502.907,0.024,-0.368,0.007,0,0.038,0.463,1.143,0,,0,0,0,0,0
FIN,Finland,Europe,2020,,,,,,,-2.573,-8.042,16.301,1999.741,4.115,1.522,0.183,4.635,836.494,62,4.002,-10.204,12.106,-4.189,36.865,490.911,6653.542,,,82.92,11.08,2.72,9.86,3.97,15.72,23.29,3.17,0,11.08,34.82,0.29,7.73,67.97,,54961.547,-8.799,50.806,-14.928,154.719,27923.928,1779.553,14.506,,5.841,-3.855,6.428,-0.785,19.576,716.514,3533.139,,,23.128,27.058,12.773,8.283,38.896,2837.177,7019.993,85.494,58.11,10487.81,4.818,49.194,6.886,149.808,27037.662,18.029,14.95,34.265,-2.789,19.067,-1.666,58.063,4203.426,10479.341,4.664,-9.196,32.272,-9.953,98.277,572.128,17737.248,,,0,1999.741,-15.222,9.101,-4.976,27.715,0,16.301,5002.036,12267.363,5540718,304.526,6284.384,51.228,10.28,30.127,8.552,91.745,16558.322,0.427,73.51,0.209,0.27,0.638,52.34,115.141,11.373,31.796,6.522,4.792,19.862,1395.126,3584.658
