location,code,year,female_population
Germany,DEU,2020,50.56820134
Ghana,GHA,2020,49.31282181
Greece,GRC,2020,50.91817601
Grenada,GRD,2020,49.63872768
Guam,GUM,2020,49.55653117
Guatemala,GTM,2020,50.72939081
Guinea,GIN,2020,51.62312782
Guinea-Bissau,GNB,2020,51.08252143
Guyana,GUY,2020,49.71146475
Haiti,HTI,2020,50.65618315
Honduras,HND,2020,50.03456977
Hong Kong,HKG,2020,54.119361
Hungary,HUN,2020,52.40039957
Iceland,ISL,2020,49.77142857
India,IND,2020,48.03632671
Indonesia,IDN,2020,49.65046876
Iran,IRN,2020,49.50956659
Iraq,IRQ,2020,49.38709309
Ireland,IRL,2020,50.35540148
Israel,ISR,2020,50.22706264
Italy,ITA,2020,51.31188392
Jamaica,JAM,2020,50.3694328
Japan,JPN,2020,51.17427703
Jordan,JOR,2020,49.36873355
Kazakhstan,KAZ,2020,51.46678808
Kenya,KEN,2020,50.31080335
Kiribati,KIR,2020,50.81961723
Kuwait,KWT,2020,38.77982833
Kyrgyzstan,KGZ,2020,50.53379032
Laos,LAO,2020,49.80735493
Latvia,LVA,2020,53.91076884
Lebanon,LBN,2020,49.66265921
Lesotho,LSO,2020,50.66173354
Liberia,LBR,2020,49.72911477
Libya,LBY,2020,49.51837989
Lithuania,LTU,2020,53.71593265
Luxembourg,LUX,2020,49.42505783
Macao,MAC,2020,51.93595979
Madagascar,MDG,2020,50.11155422
Malawi,MWI,2020,50.68447887
Malaysia,MYS,2020,48.61640602
Maldives,MDV,2020,36.55849129
Mali,MLI,2020,49.90243859
Malta,MLT,2020,49.8526744
Mauritania,MRT,2020,49.78168296
Mauritius,MUS,2020,50.66077355
Mexico,MEX,2020,51.08187444
Micronesia (country),FSM,2020,49.15711044
Moldova,MDA,2020,52.10781556
Mongolia,MNG,2020,50.73535243
Montenegro,MNE,2020,50.55217479
Morocco,MAR,2020,50.37493879
Mozambique,MOZ,2020,51.40609945
Myanmar,MMR,2020,51.80979733
Namibia,NAM,2020,51.52602447
Nepal,NPL,2020,54.18703723
Netherlands,NLD,2020,50.17678275
New Caledonia,NCL,2020,49.73641901
New Zealand,NZL,2020,50.84926423
Nicaragua,NIC,2020,50.71594254
Niger,NER,2020,49.72384845
Nigeria,NGA,2020,49.32092447
North Korea,PRK,2020,51.0901529
North Macedonia,MKD,2020,49.97883247
Norway,NOR,2020,49.45838979
Oman,OMN,2020,34.00275172
Pakistan,PAK,2020,48.53963174
Palestine,PSE,2020,49.28915815
Panama,PAN,2020,49.94215216
Papua New Guinea,PNG,2020,48.94312938
Paraguay,PRY,2020,49.18549238
Peru,PER,2020,50.32548071
Philippines,PHL,2020,49.78255143
Poland,POL,2020,51.5468217
Portugal,PRT,2020,52.6902754
Puerto Rico,PRI,2020,52.61818207
Qatar,QAT,2020,24.849361
Romania,ROU,2020,51.37713577
Russia,RUS,2020,53.65022148
Rwanda,RWA,2020,50.83903448
Saint Lucia,LCA,2020,50.75832249
Saint Vincent and the Grenadines,VCT,2020,49.32895887
Samoa,WSM,2020,48.23698402
Sao Tome and Principe,STP,2020,49.95688101
Saudi Arabia,SAU,2020,42.17445594
Senegal,SEN,2020,51.20151004
Serbia,SRB,2020,51.01900229
Seychelles,SYC,2020,48.70957901
Sierra Leone,SLE,2020,50.09093035
Singapore,SGP,2020,47.65679551
Slovakia,SVK,2020,51.30672463
Slovenia,SVN,2020,50.20375847
Solomon Islands,SLB,2020,49.1522512
Somalia,SOM,2020,50.14171138
South Africa,ZAF,2020,50.73907045
South Korea,KOR,2020,49.93902282
South Sudan,SSD,2020,49.94506299
Spain,ESP,2020,50.85350305
Sri Lanka,LKA,2020,52.05141209
Sudan,SDN,2020,50.03954342
Suriname,SUR,2020,49.74345162
Sweden,SWE,2020,49.90779532
Switzerland,CHE,2020,50.38893687
Syria,SYR,2020,49.94436495
Tajikistan,TJK,2020,49.61293368
Tanzania,TZA,2020,50.02678281
Thailand,THA,2020,51.33800759
Timor,TLS,2020,49.46747752
Togo,TGO,2020,50.24115393
Tonga,TON,2020,49.94749141
Trinidad and Tobago,TTO,2020,50.62869286
Tunisia,TUN,2020,50.41085176
Turkey,TUR,2020,50.6324572
Turkmenistan,TKM,2020,50.76740283
Uganda,UGA,2020,50.70814149
Ukraine,UKR,2020,53.66703329
United Arab Emirates,ARE,2020,30.87894322
United Kingdom,GBR,2020,50.59008776
United States,USA,2020,50.51821564
United States Virgin Islands,VIR,2020,52.49992818
Uruguay,URY,2020,51.68486182
Uzbekistan,UZB,2020,50.1125856
Vanuatu,VUT,2020,49.31141136
Venezuela,VEN,2020,50.81952443
Vietnam,VNM,2020,50.0729798
World,OWID_WRL,2020,49.58454337
Yemen,YEM,2020,49.62448495
Zambia,ZMB,2020,50.48396548
Zimbabwe,ZWE,2020,52.28389401
