iso_code,country,year,co2,co2_per_capita,co2_growth_prct,share_global_co2
GBR,United Kingdom,2020,329.579,4.855,-10.69,0.95
USA,United States,2020,4712.771,14.238,-10.33,13.54
URY,Uruguay,2020,5.84,1.681,-11.3,0.02
UZB,Uzbekistan,2020,112.784,3.37,-1.24,0.32
VUT,Vanuatu,2020,0.182,0.591,0.14,0
VEN,Venezuela,2020,84.609,2.975,-14.69,0.24
VNM,Vietnam,2020,254.303,2.613,-2.31,0.73
OWID_WRL,World,2020,34807.259,4.465,-5.16,100
YEM,Yemen,2020,9.768,0.328,-2.52,0.03
ZMB,Zambia,2020,6.573,0.358,-6.73,0.02
ZWE,Zimbabwe,2020,10.531,0.709,-3.82,0.03
